,frobenius error mean,frobenius error std,rmse error mean,rmse error std,frobenius adm4 mean,frobenius adm4 std,rmse adm4 mean,rmse adm4 std,misspecification
0,0.0032872184484876226,0.0021116183342198567,0.0016436092242438113,0.0010558091671099283,0.07229621467521964,0.03475926544661835,0.03614810733760982,0.017379632723309175,0.4
1,0.008086625122367675,0.006042251374269231,0.0040433125611838375,0.0030211256871346156,0.06429289919437478,0.041289681488034066,0.03214644959718739,0.020644840744017033,0.8
2,0.018980832673301803,0.014193123470627962,0.009490416336650903,0.007096561735313981,0.09808570697659605,0.07780064045902421,0.049042853488298024,0.038900320229512106,1.2000000000000002
3,0.030650692509716533,0.02391596220799771,0.015325346254858268,0.011957981103998854,0.0581043454595818,0.04836621815833868,0.029052172729790892,0.02418310907916934,1.6
4,0.024241748855840267,0.033192386988675375,0.012120874427920134,0.016596193494337688,0.0758306686754224,0.04385509059667897,0.0379153343377112,0.021927545298339485,2.0
5,0.03476852218250902,0.05138072607851965,0.01738426109125451,0.025690363039259825,0.0751603130577925,0.06901082233504573,0.03758015652889625,0.03450541116752287,2.4000000000000004
6,0.13532347976696618,0.11814050322504704,0.06766173988348309,0.05907025161252353,0.11537281623185841,0.11612743501629229,0.057686408115929205,0.058063717508146144,2.8000000000000003
7,0.12278069825943368,0.18076664040782042,0.061390349129716845,0.09038332020391021,0.1417021882946924,0.1546060204819468,0.0708510941473462,0.0773030102409734,3.2
8,0.1105990547243141,0.12814004274898427,0.05529952736215705,0.06407002137449214,0.1391625313527083,0.0804509695344917,0.06958126567635416,0.04022548476724585,3.6
9,0.19530410384272234,0.2355289454567421,0.09765205192136117,0.11776447272837105,0.19901385357946216,0.2650892047988865,0.09950692678973108,0.13254460239944324,4.0
10,0.2900932373505932,0.2367925189256906,0.1450466186752966,0.1183962594628453,0.12600969345398913,0.04805892583254198,0.06300484672699457,0.024029462916270995,4.4
11,0.06830934691801806,0.07839084225666607,0.03415467345900903,0.03919542112833303,0.09314539177410514,0.047724882696747885,0.04657269588705257,0.023862441348373942,4.800000000000001
12,0.1151018517856881,0.18657055916508786,0.05755092589284405,0.09328527958254393,0.18524782703385553,0.16527278507810128,0.09262391351692777,0.08263639253905064,5.2
13,0.37236557349978516,0.22230737433767167,0.18618278674989258,0.11115368716883584,0.1736608810345294,0.2231877009004197,0.0868304405172647,0.11159385045020985,5.6000000000000005
