train_split,sample_cov_llk,ledoit_wolf_llk,latent_model_llk
0.2,-inf,589.8545137346889,326.95107636650977
0.5,-40.200370787908696,954.7173391426654,1175.1235211873386
0.8,1207.4333678630023,1298.2661863678343,1287.300595151526
