Epoch,Loss,Z_llk,theta_llk,X_llk,SSE,RMSE
0,214052374.80439037,-1440.9828194323818,,-212758682.801929,210676.35191301038,4.589949366964851
100,58851555.62531305,-1494.5680641400756,,-58109489.928704806,140991.12972714144,3.754878556320317
200,23468921.089756735,-1472.952084764425,,-23279063.313991815,110280.58251101748,3.3208520369178967
300,9093363.96748096,-1451.0608811943173,,-8989074.649618734,86477.69286592833,2.9407089768613344
400,2033988.5184592705,-1421.4710677658722,,-1995603.7696784113,64576.24867794197,2.541185720838639
500,280689.4589692132,-1397.4999650433545,,-273493.71105859726,55653.827927357495,2.359106354689365
600,27541.90616218909,-1382.5522074126206,,-25378.115204010217,52998.32658983501,2.3021365422110622
700,-6430.445291375333,-1371.6237515600506,,7905.519090414137,51626.07076382304,2.272137116545194
800,-10823.458507932728,-1362.1323679580637,,12198.075939318434,50563.15314223683,2.248625205369647
900,-11327.949712829375,-1353.1966270155203,,12682.429651058643,49644.39521792141,2.2281022242689277
1000,-11377.683245209631,-1344.5442381913995,,12722.351074659575,48836.21555569111,2.209891752002598
1100,-11383.289673498757,-1336.093035216919,,12719.407997671058,48126.770071483814,2.1937814401504028
1200,-11385.216332260272,-1327.8170547321963,,12713.04909834688,47508.85423879594,2.1796525924742207
1300,-11386.587087087919,-1319.7067388440246,,12706.30562295932,46976.89649061161,2.1674154306595583
1400,-11387.587049066728,-1311.7572722311008,,12699.352496891464,46526.06560709537,2.1569901624044405
1500,-11388.227080001614,-1303.965166265023,,12692.196841221037,46151.90592313597,2.1482994652314185
1600,-11388.510798959865,-1296.3273007167866,,12684.839149967194,45850.200499795304,2.141265992346475
1700,-11388.44200097555,-1288.8406814684336,,12677.280228223515,45616.92626212573,2.1358119360591123
1800,-11388.024937788088,-1281.502387866543,,12669.521411948528,45448.23803935699,2.131859236426201
1900,-11387.26437500998,-1274.3095629714403,,12661.564615227551,45340.45970107024,2.1293299345350465
2000,-11386.165647270436,-1267.2594117381827,,12653.412383616207,45290.07679575105,2.1281465362082335
2100,-11384.73471563373,-1260.3492003708145,,12645.067950945328,45293.72961446911,2.128232356075556
2200,-11382.978226776575,-1253.57625583158,,12636.535298013303,45348.206519980275,2.129511834200043
2300,-11380.903573353187,-1246.9379653937249,,12627.819212515195,45450.437517920145,2.1319108217259024
2400,-11378.484349650937,-1240.4320211995732,,12618.819686110415,45597.49199660866,2.1353569255889884
2500,-11375.762386315697,-1234.0552602341286,,12609.860739802923,45786.525513171095,2.13977862203479
2600,-11372.792706442724,-1227.8060137643897,,12600.49708790329,46014.98432745532,2.1451103544446233
2700,-11369.455084442277,-1221.6812775745132,,12591.21879017359,46280.10495153825,2.1512811288053038
2800,-11366.079297830105,-1215.6791284762353,,12581.720918197989,46579.55603714493,2.158229738400084
2900,-11362.302916660045,-1209.7972536691989,,12572.061542291827,46911.00122460828,2.165894762554457
3000,-11358.071450622669,-1204.0333474533363,,12562.101663815603,47272.20618196632,2.174217242640815
3100,-11353.955243982367,-1198.385413874118,,12552.284714835521,47660.937211469434,2.183138502511223
3200,-11348.162771733598,-1192.8515298600219,,12541.211180509505,48075.35959016575,2.1926093949941423
3300,-11343.793145503503,-1187.4289854604838,,12530.271783833556,48513.30674462259,2.202573647908794
3400,-11340.1344077445,-1182.1163484070967,,12522.201929947478,48972.81641383282,2.21298026231218
3500,-11335.156177910936,-1176.911632368614,,12512.010098581508,49452.32770892635,2.2237879329856622
3600,-11328.331102443564,-1171.813398683955,,12500.505144505523,49950.15675704584,2.234953170807965
3700,-11324.090153389947,-1166.8186080481066,,12490.87730710978,50464.34481897089,2.246427047980212
3800,-11319.452910401305,-1161.9272306402174,,12481.322457786435,50993.568493179526,2.2581755576832285
3900,-11304.137419938294,-1157.135249619636,,12459.628552482449,51536.29376575717,2.2701606499487443
4000,-11305.593638708371,-1152.4449373948582,,12458.828655944924,52090.96006992691,2.2823444102485273
4100,-11302.029561666774,-1147.851418889784,,12449.720433650282,52656.08316760745,2.294691333657043
4200,-11297.616990862367,-1143.354056940874,,12440.842384777696,53230.62177780093,2.3071762346600435
4300,-11289.64173764573,-1138.9519212604675,,12427.438538668699,53813.100020462334,2.3197650747535277
4400,-11270.762318445195,-1134.6430489222294,,12403.06333810888,54402.18302356765,2.3324275556502863
4500,-11281.38512719905,-1130.426821882907,,12411.908034484495,54996.67265113028,2.3451369395225155
4600,-11262.480789209523,-1126.3005569586603,,12383.934895582208,55595.7501134643,2.3578751051203772
4700,-11250.597104131706,-1122.2659272700614,,12372.868556906229,56197.87606444865,2.370609121395777
4800,-11248.675514410124,-1118.3209101370758,,12367.114638384232,56801.82359094746,2.383313315343736
4900,-11246.794520234609,-1114.4627089461942,,12361.545627589516,57407.24670492848,2.3959809411789657
5000,-11254.348554216658,-1110.7291401694322,,12365.077694386091,58006.17187410876,2.4084470489115755
