Epoch,Loss,Z_llk,theta_llk,X_llk,SSE,RMSE
0,185060432.16225496,-1410.288961354476,-40535.71966681645,-45075887.51757934,670536.1584600724,8.188627225976726
100,472859.6489809624,-1381.440158347786,-43377.765145018195,-425090.9161258033,646002.2023804418,8.03742621975743
200,315689.8988158482,-1354.568330110896,-43225.80738337886,-270317.6081559624,629819.5488665929,7.936117116490862
300,259953.83772614304,-1335.0607326758864,-43218.87217440305,-214995.1064525739,614549.6172760987,7.839321509391598
400,227501.6740841898,-1318.377878725179,-43224.8093003467,-182699.89460999463,600292.4471480778,7.747854200667936
500,206168.7477413569,-1303.68274938791,-43231.46944358268,-161459.92951124522,586739.2336841811,7.659890558514404
600,191701.8140531436,-1290.868153958275,-43236.279080099426,-147055.54374082142,573727.5520068114,7.5744805234868195
700,181638.6583865367,-1280.0259042382156,-43238.11029191699,-137036.03652464756,561164.5352965448,7.491091611351072
800,174342.89201977022,-1271.2084170844485,-43235.92053940065,-129772.84611849941,549000.1965303092,7.409454747350241
900,168771.56435819654,-1264.3823420443266,-43228.99998705189,-124228.788648123,537207.4927273979,7.329443994788402
1000,164295.16032191727,-1259.4075902481513,-43217.37305332872,-119777.72588113742,525769.4125188739,7.250995880007611
1100,160537.56407424493,-1256.0138282650244,-43201.84761256137,-116044.88107574277,514672.61750058323,7.1740687026302155
1200,157262.78164076968,-1253.8323845400814,-43183.53039608662,-112794.51884648262,503904.99985710316,7.098626626729309
1300,154308.3626863144,-1252.4934402385493,-43163.25276151521,-109864.25241571611,493454.99418341264,7.0246351804446885
1400,151552.28728485538,-1251.7081745330847,-43141.40405555974,-107132.27433574098,483311.5592146864,6.95206127141215
1500,148899.35759012486,-1251.286571932424,-43118.06909092154,-104503.72986602655,473464.4222730134,6.8808751062129625
1600,146277.24428503384,-1251.113830360305,-43093.25362356529,-101906.68467532466,463904.4204627781,6.811052932276903
1700,143636.73902725015,-1251.1159121311698,-43066.65250985713,-99292.36800084873,454623.956668563,6.742580786824605
1800,140953.19459655538,-1251.2554881066872,-43038.28914738895,-96636.55061855628,445617.17750296585,6.675456370188973
1900,138226.2682034592,-1251.502897138243,-43008.101305344295,-93939.27263395302,436880.35909970355,6.609692573030183
2000,135473.75692645053,-1251.8347229181359,-42975.16992754258,-91219.29439880526,428411.5941131957,6.5453158374000235
2100,132723.38473519756,-1252.2598412477962,-42943.00938369814,-88500.79335485595,420210.5878431167,6.482365215283051
2200,129973.3558334897,-1252.7421147982643,-42901.616025166455,-85791.38346543965,412278.69015990006,6.420893163415043
