Epoch,Loss,Z_llk,theta_llk,X_llk,SSE,RMSE
0,13162220392.21909,-3712.760120028955,-29842557.759459738,-3757057202.342696,2029795395.034257,450.5325066001628
100,175400598.01975143,-3702.7731621704943,-19911682.669789962,-155002790.43043876,1989207501.2496138,446.0053252204071
200,112091280.21445301,-3692.957004273687,-20034474.49276069,-91353719.45952314,1950737672.4059036,441.6715603710412
300,68727077.43242049,-3683.331365838964,-20005201.84608915,-48485036.197793365,1912702931.7588255,437.3445931709714
400,53515266.71493408,-3673.962242284638,-19897172.252190404,-33526752.87509203,1876724767.2341287,433.2118150782742
500,46116546.407679975,-3664.8114489441523,-19737115.26902686,-26311620.988153175,1842747648.660478,429.2723667626976
600,41786753.19032102,-3655.8712757776857,-19625976.856649425,-21967913.826168567,1810534265.5269508,425.5037327129987
700,38318560.83075374,-3647.133792122173,-19277293.270487648,-19013637.02502291,1779954688.2579117,421.8950922039638
800,35899030.417781025,-3638.5894090766697,-19024938.035237167,-16848126.930641454,1750850234.651101,418.4316234047206
900,34034205.01764801,-3630.2324405238596,-18821095.664705202,-15185532.011469815,1723117360.6686814,415.1044881314442
1000,32398667.062382147,-3622.0575176829116,-18523679.608035576,-13859526.221042996,1696653995.8361647,411.9046001000918
1100,31194516.27387592,-3614.056239670602,-18415457.797156066,-12774795.135894038,1671389235.6764972,408.826275534792
1200,29847697.06479895,-3606.2237447322123,-17965731.523128916,-11868587.770287583,1647243072.629164,405.86242405883837
1300,29094948.581507504,-3598.553807855279,-17974629.381484434,-11103148.249343432,1624152011.7386415,403.0076936906589
1400,27652209.016929645,-3591.042449873435,-17189921.604055118,-10440341.516331809,1602067042.8768933,400.25829696296034
1500,26680350.608221915,-3583.685144853109,-16806467.56382373,-9862343.19266826,1580923035.7857153,397.60822876114065
1600,25846828.501211993,-3576.477686155459,-16476568.467243657,-9353079.832554901,1560683308.9232414,395.054845423169
1700,25052809.924594734,-3569.4167421494135,-16235050.05710972,-8901227.445375128,1541304032.8289547,392.5944514163382
1800,24336152.60251064,-3562.4983415741017,-15826907.68988951,-8498282.48002567,1522763500.0532603,390.2260242543108
1900,23404907.05903832,-3555.720101513465,-15263325.660619453,-8130583.724420382,1505006379.492865,387.94411704430655
2000,22687726.62843611,-3549.0800001494486,-14879671.036562249,-7796380.649052666,1487997081.7530172,385.7456521793883
2100,22102672.61664751,-3542.5685715692507,-14595879.82203407,-7493611.337975934,1471747548.4651296,383.63362058937554
2200,21824827.989920426,-3536.1965447342945,-14719100.270961415,-7218102.309900746,1456163270.493579,381.59707421488184
2300,20929052.27611186,-3529.9453071221506,-13955869.978809932,-6960903.935076304,1441261949.354705,379.6395592341114
2400,20386288.65073689,-3523.8266961949453,-13635616.122297868,-6725052.794406874,1426969152.9155126,377.75245239647523
2500,19813964.34193707,-3517.829507733494,-13301100.011742953,-6503961.204361722,1413277149.489934,375.93578567222534
2600,19296137.8620198,-3511.9468193308153,-12989312.978225458,-6297934.452613426,1400189996.375693,374.1911271497081
2700,18592696.224123247,-3506.1904777846034,-12478796.12749518,-6106083.48658268,1387636781.4071364,372.5099705252379
2800,18824847.12931852,-3500.5471913379815,-12759070.957914302,-5927181.801519993,1375614504.048828,370.8927748081413
2900,17986841.3921161,-3495.017453557992,-12302992.992277265,-5752604.602116238,1364097629.3101716,369.33692332478404
3000,17361665.438635573,-3489.5986869570747,-11825805.594203355,-5585615.563305996,1353065251.80014,367.84035284347755
3100,17294542.639220692,-3484.2880392557568,-11843363.347739816,-5428354.7917549135,1342496827.4002845,366.40098627054556
3200,16414458.90471719,-3479.0721999988564,-11124842.37468387,-5276769.059442129,1332393863.7473514,365.01970683065184
3300,15914057.720489137,-3473.970495421316,-10766916.227194196,-5136895.206809256,1322696237.8560705,363.6889107267459
3400,15511418.726839306,-3468.9704370752397,-10507712.095815023,-5000980.871939119,1313406746.9521616,362.4095400168383
3500,15207167.956954684,-3464.0606661235443,-10321287.680414326,-4868851.423392656,1304526751.9083798,361.1823295661597
3600,14856832.878732296,-3459.2571764881695,-10102563.523354389,-4740094.627286337,1296008716.90457,360.0012106791546
3700,14400869.022635333,-3454.5484792453794,-9780944.491612885,-4614990.4810226895,1287853551.560623,358.86676518739154
3800,14411682.806829479,-3449.932884209218,-9840281.47736768,-4497672.650871014,1280044948.7472684,357.77715812321884
3900,24456356.81905903,-3445.4039881977196,-20603763.950047664,-4547873.37293066,1272578489.7927315,356.73218102558826
4000,16210403.38006344,-3440.952432289844,-11906444.898898534,-4262887.027698839,1265445110.633979,355.7309531983374
4100,14045192.708946511,-3436.6055648970623,-9865149.267718593,-4161939.456536924,1258586748.2145224,354.76566184095685
4200,13097824.117428415,-3432.3440832174256,-9037562.836985178,-4070210.6993209235,1252022258.797811,353.8392655991999
4300,12749312.567854548,-3428.1664530109183,-8757593.093577739,-3977892.5444511473,1245739573.8562267,352.95036107875393
4400,12385281.005530095,-3424.072011058004,-8501105.698828304,-3881451.9343524287,1239727323.1178968,352.0976175889148
4500,12113513.785681572,-3420.058734048289,-8326059.291481535,-3787263.751853281,1233974866.476713,351.2797840008324
4600,12130968.2354066,-3416.1231777749617,-8461472.785369089,-3692799.355515922,1228471429.4251332,350.49556765031025
4700,11810761.102422059,-3412.268041729426,-8203175.589955536,-3599065.2072839327,1223203412.1260877,349.7432504175153
4800,11679031.87337133,-3408.4899819668585,-8155840.527152075,-3515595.3623158936,1218162641.2184389,349.02186768430977
4900,22656425.879242066,-3404.757678315659,-19210873.76818785,-3384005.644084927,1213362514.2165291,348.3335347359667
5000,17897948.708042584,-3401.1573769742668,-14597067.276774568,-3297480.273891041,1208805789.7023196,347.67884458251393
