Epoch,Loss,Z_llk,theta_llk,X_llk,SSE,RMSE
0,131809897.99854317,-1410.02369582436,-4693630.573528051,-35935624.88795597,202905.47444654902,4.504503018608703
100,4455644.110907347,-1397.90335164709,-3183614.7860475695,-1261007.1219133222,197099.61788031695,4.439590272539989
200,3674299.988710168,-1387.33567756261,-2849490.1926318305,-816750.0116586838,193041.61226123894,4.393650102832938
300,2945916.76061613,-1376.9080556828355,-2533602.056949515,-404701.9285218889,189289.815942621,4.350744947047818
400,2926319.7126285136,-1367.104887607268,-2703404.7885181806,-258872.14602171362,185866.12965526435,4.311219429062551
500,2466847.3265160625,-1356.944051242491,-2240736.144504401,-218172.34255513025,182936.71496500674,4.27711018054254
600,2141405.763696881,-1347.8258553023252,-1929664.4261009323,-199521.0522769863,179936.15639505477,4.241888216290651
700,1782016.650645915,-1338.7806232514358,-1591363.9182543363,-183629.78644797183,177099.13458145055,4.208314800266855
800,1599025.6963567066,-1330.2203455751956,-1418963.9348507612,-174058.49575960822,174313.30571041608,4.1750844986708495
900,1476526.6483063381,-1321.7810652144813,-1307853.2950474357,-165670.976199141,171655.9812871477,4.1431386808450865
1000,1751818.6504223337,-1313.5808037725997,-1616706.778570807,-169296.83282923617,169103.0119004744,4.112213660554062
1100,3249764.9004464922,-1303.2475760158113,-3096614.4964433233,-142745.96840297861,167422.9485648664,4.091734944554282
1200,2520667.890532372,-1295.4863672985352,-2379943.462661649,-134208.38857120223,164990.81905597376,4.061906191137034
1300,2081674.280799991,-1287.9085931026002,-1947699.7459325418,-131435.59448625354,162675.1138956816,4.0333003098663704
1400,1774081.4286525191,-1280.4880888827122,-1641534.68230121,-129305.21940861034,160474.00327906283,4.005920659212594
1500,1563280.842488516,-1272.9226441697274,-1428050.3317924645,-128259.52574659577,158436.78964067015,3.980411908843984
1600,2402274.567504945,-1265.2439441375686,-2255456.4785734713,-128403.10917599461,156536.35099324517,3.9564675026245975
1700,1513146.143237696,-1258.3877371173103,-1383121.4632960337,-122303.83681566064,154579.2659643293,3.9316569784803117
1800,1109166.1708211033,-1251.6545490491947,-986999.0554759435,-120433.32078761426,152693.88447625094,3.907606485769146
