Epoch,Loss,Z_llk,theta_llk,X_llk,SSE,RMSE
0,214052374.80439037,-1440.7700181716361,,-213923225.8380311,211370.5428234251,4.5975052237428224
100,198861986.4759584,-1441.4869727456194,,-198679968.27330825,202422.47912088575,4.49913857444829
200,178056185.8995629,-1440.2547288427356,,-177821736.17272162,191581.33655721985,4.377000531839351
300,153439737.37501293,-1441.418787022126,,-153186837.0620957,182062.2495775474,4.266875315468538
400,129183881.70657307,-1442.7388442159058,,-128954005.79600894,174355.685224867,4.1755919966499
500,108321620.95851022,-1442.6678694951704,,-108133089.62803103,167996.95510419374,4.098743162290041
600,91722469.88848685,-1441.445447804269,,-91575399.48192817,162329.2704268131,4.029010677906092
700,78799959.24303278,-1439.215152310998,,-78684027.88192245,156769.91232838845,3.9594180421924206
800,68464928.12702195,-1435.977564376538,,-68370261.62373441,151246.32061201907,3.889039992234832
900,59964210.10298039,-1431.9161390205584,,-59885588.74078018,146047.0852471791,3.821610723859498
1000,52928861.404598914,-1427.442227093773,,-52863706.766795255,141375.3475452495,3.7599913237300084
1100,47138202.36135466,-1422.877438232198,,-47084452.35298877,137203.03113196907,3.704092751700058
1200,42378926.54864836,-1418.3496840383164,,-42334363.10527408,133374.52903335914,3.6520477684904264
1300,38427025.69725216,-1413.8911427679573,,-38389435.90821251,129733.37256520739,3.6018519204043806
1400,35072818.15331229,-1409.520664478231,,-35040258.144654945,126174.91715463625,3.5521108816397673
1500,32141061.724801686,-1405.2629158820334,,-32111982.624906935,122641.13827328972,3.5020156806229443
1600,29496756.540577844,-1401.1456084723177,,-29470004.685551044,119105.44862467505,3.4511657251525167
1700,27042227.095746007,-1397.1969197616027,,-27016997.825741682,115567.11460718371,3.399516356883485
1800,24712518.28318787,-1393.442355862689,,-24688313.54301013,112049.93327649139,3.347386044012425
1900,22471376.07285387,-1389.8964957743767,,-22447963.005663905,108594.80990296889,3.295372663341263
2000,20306239.27877977,-1386.5498533262685,,-20283588.70450185,105243.06788235616,3.244118799957179
2100,18220952.207289945,-1383.3602669109116,,-18199156.87306929,102017.6142227553,3.1940196339840408
2200,16227544.570583029,-1380.2577735847372,,-16206741.217697827,98910.9771169464,3.1450115598666164
2300,14339555.416217323,-1377.1588159183161,,-14319871.45769109,95883.30112821505,3.0965028843554303
2400,12568101.933437016,-1373.978591527866,,-12549629.676622523,92869.82888891584,3.0474551496111593
2500,10920365.336545307,-1370.6407619220927,,-10903156.162599476,89798.92588143489,2.996646890800363
2600,9399675.994765159,-1367.0910210694287,,-9383747.128228528,86618.51002194053,2.9431022751841383
2700,8006660.7184590595,-1363.310135833991,,-7992010.832167043,83319.17552769768,2.8865061151450515
2800,6740997.917323174,-1359.315961389524,,-6727624.863234022,79941.27378691739,2.827388791569306
2900,5602816.126532728,-1355.154679441631,,-5590725.152719078,76564.28452486581,2.7670251991058157
3000,4592750.1725145625,-1350.8892672445572,,-4581946.680647571,73286.1021948822,2.7071405983968058
3100,3710670.2767487667,-1346.589791274748,,-3701143.3824638166,70201.08931738991,2.6495488166363343
3200,2954075.8524881015,-1342.3259978719002,,-2945784.545699204,67383.50849156476,2.5958333631334027
3300,2317172.579725761,-1338.1621652738256,,-2310041.731850847,64879.67116358021,2.547148821007133
3400,1790964.512536506,-1334.1540447020807,,-1784890.2358991054,62708.11707739852,2.504158882287593
3500,1364068.2021970516,-1330.3471485864825,,-1358928.0158408282,60864.560317656295,2.4670743871569054
3600,1023785.4504970917,-1326.7757237945402,,-1019449.051664858,59328.38570987019,2.4357418933431796
3700,757107.8616095431,-1323.4622755134897,,-753446.2237168588,58068.81443576591,2.4097471742024297
3800,551507.3878652013,-1320.4177997970896,,-548399.4316497068,57050.004734489536,2.3885142816087477
3900,395481.574297775,-1317.6428136782692,,-392818.4393226829,56234.93654947972,2.3713906584424205
4000,278874.148178537,-1315.1290526947193,,-276561.39970341034,55588.145491675874,2.357713839541938
4100,193010.5256241926,-1312.861540540248,,-190968.73319005023,55077.446197899444,2.346858457553405
4200,130693.34151901066,-1310.8207077386298,,-128857.48545584925,54674.825058345115,2.338264849377527
4300,86102.51640898202,-1308.984315550982,,-84420.64878496896,54356.705395409546,2.331452452772937
4400,54639.35555650116,-1307.3290538781512,,-53070.87357975035,54103.785814884715,2.3260220509463094
4500,32746.131226663005,-1305.8317745545633,,-31259.932431515106,53900.62530834001,2.3216508201781787
4600,17723.618802446705,-1304.470378264988,,-16296.319539361317,53735.10845283365,2.318083442260732
4700,7560.918900964916,-1303.2244007010536,,-6175.2441137234755,53597.88300840902,2.3151216600517768
4800,785.4490955426088,-1302.075352904898,,571.1539209893842,53481.82740559002,2.312613832994821
4900,-3663.6810638235393,-1301.0068705848305,,5000.1907409813775,53381.579168828335,2.3104453936163116
5000,-6538.840689797043,-1300.0144571484213,,7838.855146945464,53293.97320602039,2.3085487477205318
