Epoch,Loss,Z_llk,theta_llk,X_llk,SSE,RMSE
0,146963431.01801583,-1410.2530092481693,-26425.556658895395,-63749860.16523382,216871.4779527863,4.656946187715577
100,3305064.040407884,-1408.3246181079462,-36931.951487687315,-3250252.7769012223,213677.85577509934,4.62253021380174
200,2289397.244724334,-1406.947708206807,-38075.1382877443,-2243476.4022571202,211342.30988065223,4.597198167151944
300,1802080.294885404,-1405.3254846751715,-38930.402532501415,-1758025.3245066998,209254.04373057466,4.574429404095933
400,1492883.287011194,-1403.4827265277027,-39600.03530674932,-1449274.1988417343,207320.7409085019,4.553248740278771
500,1258781.7193501347,-1401.4779181223776,-40135.58683796414,-1215091.6828865367,205491.17728647843,4.533113469641792
600,1047732.666720755,-1399.365283873788,-40568.21132142596,-1003644.199115273,203736.6352118968,4.513719477458658
700,843956.6646728859,-1397.1986039196415,-40957.13031717199,-799792.4089934493,202005.96389478075,4.494507357817773
800,694919.2274870451,-1395.0139351074436,-41339.24772518373,-650982.0800628148,200292.86929149905,4.47540913539197
900,594171.5546469847,-1392.806256641545,-41681.117396056514,-550255.1393082705,198648.0146892084,4.456994667813819
1000,521283.15944175137,-1390.5594611034455,-41977.65483432284,-477284.8668954856,197076.1738444709,4.439326230910169
1100,465496.89482994855,-1388.2784644978242,-42234.056213962336,-421381.1430133957,195567.23669152387,4.42229845998123
1200,421084.37888807623,-1385.9700937507555,-42455.992379991294,-376843.14687663317,194110.86669233916,4.40580147864539
1300,384699.65183222987,-1383.643368798821,-42648.59313205108,-340336.2926377726,192698.5980734852,4.389744845358157
1400,354235.5529378272,-1381.30919878643,-42816.22947010441,-309758.0399847409,191323.69495462632,4.374056412011921
1500,328285.338463107,-1378.9727786537867,-42961.204218815365,-283704.89385555737,189980.7640335588,4.358678286287699
1600,305870.5583931825,-1376.640659747232,-43087.441327947585,-261197.6575058779,188665.38106435494,4.343562835557407
1700,286283.48624624545,-1374.324583254728,-43196.61632162816,-241529.02235068515,187373.92510023102,4.328670986575796
1800,268998.48605979286,-1372.0287048806135,-43290.47514578317,-224173.32000179245,186103.31991768506,4.313969400884586
1900,253616.38654064364,-1369.761665509622,-43370.79055953555,-208730.5175302046,184850.95912513646,4.299429719452762
2000,239826.77501534994,-1367.5188819193127,-43438.355616638284,-194890.18888241542,183614.61512698716,4.285027597658937
2100,227384.9719295388,-1365.304638947602,-43494.21442476925,-182407.22925114798,182392.301725235,4.270741173675071
2200,216095.39526817526,-1363.1194141687215,-43539.210123625286,-171085.39043773088,181182.30525716214,4.256551482798746
2300,205799.63440224895,-1360.96013433956,-43574.92322383273,-160765.32149852935,179983.0754722167,4.2424412249578305
2400,196365.8959449489,-1358.825809773592,-43600.54526279761,-151316.20616024913,178793.19177921218,4.228394397158483
2500,187687.08326696124,-1356.7150563354799,-43617.52924979695,-142629.51894530933,177611.3667442839,4.2143963594361145
2600,179672.10962268838,-1354.6357505715405,-43625.896264528375,-134614.49078601773,176436.5078867483,4.200434595214504
2700,172245.65153791427,-1352.5807478277663,-43627.09302176946,-127194.43206630158,175267.5730809455,4.186497021149608
2800,165340.594388698,-1350.5545176165122,-43619.19791636078,-120304.24706327099,174103.66053339897,4.172573073457179
2900,158903.85764955342,-1348.5508362061291,-43605.094431469865,-113888.10824757606,172943.88103478556,4.158652197945696
3000,152887.5472703771,-1346.5721222787915,-43584.773942602216,-107898.04235167919,171787.48043217705,4.144725327837505
3100,147251.20835758976,-1344.6221077481368,-43559.437377131624,-102292.58361430162,170633.7592106557,4.130783935412933
3200,141959.14388004615,-1342.6947286339898,-43529.48145053965,-97035.60513087678,169482.04458808494,4.116819702004022
3300,136978.41250431907,-1340.7914914143046,-43493.718621395376,-92095.57312258084,168331.70285185092,4.1028246715141385
3400,132282.99120174287,-1338.9097155645372,-43453.586106678864,-87444.85597177607,167182.18049799505,4.088791759163028
3500,127848.09724149035,-1337.0498857232196,-43408.852252349796,-83059.05904443876,166032.95175780196,4.074714121969808
3600,123652.72119642992,-1335.202781010121,-43360.31685289369,-78916.56644847422,164883.37102494205,4.060583345098856
3700,119677.09840831184,-1333.378309739459,-43306.73513536999,-74998.30309353564,163733.07500958335,4.046394382775648
